"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
6.7;0.12;0.36;2.3;0.039;43;125;0.99229;3.07;0.67;10.1;7
6.6;0.2;0.14;4.4;0.184;35;168;0.99396;2.93;0.45;9.4;6
8;0.34;0.25;6.4;0.035;38;103;0.99148;2.91;0.23;12.2;6
6.8;0.21;0.31;2.9;0.046;40;121;0.9913;3.07;0.65;10.9;7
6.8;0.23;0.31;2.8;0.047;40;122;0.99126;3.06;0.64;10.9;7
6.8;0.21;0.31;2.9;0.046;40;121;0.9913;3.07;0.65;10.9;7
6.6;0.2;0.14;4.4;0.184;35;168;0.99396;2.93;0.45;9.4;6
6.6;0.28;0.42;8.2;0.044;60;196;0.99562;3.14;0.48;9.4;5
7.8;0.25;0.37;1;0.043;10;80;0.99128;3.08;0.38;11.4;5
5.6;0.12;0.33;2.9;0.044;21;73;0.98896;3.17;0.32;12.9;8
6.6;0.28;0.41;7;0.046;59;194;0.99558;3.14;0.48;9.4;5
6.8;0.17;0.35;1.8;0.04;29;84;0.98961;2.91;0.57;12;7
7.3;0.25;0.28;1.5;0.043;19;113;0.99338;3.38;0.56;10.1;6
6.6;0.28;0.41;7;0.046;59;194;0.99558;3.14;0.48;9.4;5
6.6;0.28;0.42;8.2;0.044;60;196;0.99562;3.14;0.48;9.4;5
6.5;0.25;0.5;7.6;0.047;54;184;0.99572;3.17;0.45;9.2;5
6.3;0.24;0.35;2.3;0.039;43;109;0.99056;3.34;0.44;11.8;6
